,Coin_Date,Mint,Grader,CAC,Price_+_Shipping,Price,Shipping,Bids,Result,Free_Returns,Top_Rated_Plus,Format,Best_Offer_Accepted,Title_Length,Sale_Time,Sale_Day,Sale_Date,Sale_Year,Time_Stamp
0,1949,S,NGC, ,132.0,132.0,0.0,-,Sold,Yes,No,Buy_it_now,Yes,67,23:40,Monday,Feb-18,2019,2019-02-18
1,1953,S,NGC, ,128.0,128.0,0.0,-,Sold,Yes,No,Buy_it_now,Yes,67,23:39,Monday,Feb-18,2019,2019-02-18
2,1953,S,PCGS, ,146.0,146.0,0.0,-,Sold,Yes,No,Buy_it_now,Yes,57,23:36,Monday,Feb-18,2019,2019-02-18
3,1943,S,PCGS, ,248.0,248.0,0.0,-,Sold,Yes,No,Buy_it_now,Yes,55,23:26,Monday,Feb-18,2019,2019-02-18
4,1970,D,ICG, ,23.5,20.31,3.19,10,Sold,No,No,Auction,No,71,19:51,Monday,Feb-18,2019,2019-02-18
5,1970, ,ICG, ,6.1899999999999995,3.0,3.19,4,Sold,No,No,Auction,No,69,19:48,Monday,Feb-18,2019,2019-02-18
6,1972, ,ICG, ,31.25,28.06,3.19,7,Sold,No,No,Auction,No,69,19:45,Monday,Feb-18,2019,2019-02-18
7,1943,S,PCGS, ,435.0,435.0,0.0,25,Sold,No,No,Auction,No,80,18:16,Monday,Feb-18,2019,2019-02-18
8,1967, ,NGC, ,17.99,17.99,0.0,1,Sold,Yes,Yes,Auction,No,60,18:01,Monday,Feb-18,2019,2019-02-18
9,2004,D,PCGS, ,44.95,44.95,0.0,-,Sold,Yes,Yes,Buy_it_now,No,80,13:21,Monday,Feb-18,2019,2019-02-18
10,1955,S,NGC, ,67.95,67.95,0.0,-,Sold,No,No,Buy_it_now,No,41,12:12,Monday,Feb-18,2019,2019-02-18
12,1937, ,PCGS, ,136.0,136.0,0.0,-,Sold,Yes,No,Buy_it_now,Yes,57,09:55,Monday,Feb-18,2019,2019-02-18
13,1943,S,PCGS, ,660.0,660.0,0.0,-,Sold,Yes,No,Buy_it_now,Yes,53,09:52,Monday,Feb-18,2019,2019-02-18
14,1941,D,NGC, ,58.95,58.95,0.0,-,Sold,No,No,Buy_it_now,No,41,09:11,Monday,Feb-18,2019,2019-02-18
15,2018,D,NGC, ,22.64,19.39,3.25,9,Sold,Yes,No,Auction,No,71,20:08,Sunday,Feb-17,2019,2019-02-17
16,1965, ,PCGS, ,31.0,31.0,0.0,15,Sold,No,No,Auction,No,57,20:02,Sunday,Feb-17,2019,2019-02-17
17,1979, ,NGC, ,75.0,75.0,0.0,-,Sold,No,No,Buy_it_now,No,41,19:44,Sunday,Feb-17,2019,2019-02-17
18,1943,D,NGC, ,113.61,113.61,0.0,19,Sold,No,No,Auction,No,54,19:27,Sunday,Feb-17,2019,2019-02-17
19,1949, ,ICG, ,83.0,83.0,0.0,21,Sold,No,No,Auction,No,49,19:17,Sunday,Feb-17,2019,2019-02-17
20,1967, ,PCGS, ,18.15,18.15,0.0,9,Sold,No,No,Auction,No,57,19:08,Sunday,Feb-17,2019,2019-02-17
21,1953,D,ICG, ,36.01,32.01,4.0,10,Sold,No,No,Auction,No,55,18:53,Sunday,Feb-17,2019,2019-02-17
22,1953, ,ICG, ,206.65,202.65,4.0,19,Sold,No,No,Auction,No,66,18:51,Sunday,Feb-17,2019,2019-02-17
23,1952,S,ICG, ,29.5,25.5,4.0,7,Sold,No,No,Auction,No,54,18:49,Sunday,Feb-17,2019,2019-02-17
24,1952,D,ICG, ,36.99,32.99,4.0,10,Sold,No,No,Auction,No,54,18:47,Sunday,Feb-17,2019,2019-02-17
25,1951,S,ICG, ,46.0,42.0,4.0,11,Sold,No,No,Auction,No,54,18:45,Sunday,Feb-17,2019,2019-02-17
26,1951, ,ICG, ,64.0,60.0,4.0,12,Sold,No,No,Auction,No,52,18:43,Sunday,Feb-17,2019,2019-02-17
27,1950,D,ICG, ,47.3,43.3,4.0,10,Sold,No,No,Auction,No,53,18:41,Sunday,Feb-17,2019,2019-02-17
28,1950, ,ICG, ,80.0,76.0,4.0,20,Sold,No,No,Auction,No,54,18:39,Sunday,Feb-17,2019,2019-02-17
29,1941,S,NGC, ,61.99,58.0,3.99,20,Sold,No,No,Auction,No,80,18:38,Sunday,Feb-17,2019,2019-02-17
30,1943,S,ICG, ,110.01,106.01,4.0,19,Sold,No,No,Auction,No,57,18:38,Sunday,Feb-17,2019,2019-02-17
31,1966, ,PCGS, ,22.01,22.01,0.0,10,Sold,No,No,Auction,No,57,18:37,Sunday,Feb-17,2019,2019-02-17
32,1949,S,ICG, ,25.5,21.5,4.0,10,Sold,No,No,Auction,No,53,18:37,Sunday,Feb-17,2019,2019-02-17
33,1949,D,ICG, ,35.0,31.0,4.0,9,Sold,No,No,Auction,No,54,18:35,Sunday,Feb-17,2019,2019-02-17
34,1943,D,ICG, ,54.0,50.0,4.0,11,Sold,No,No,Auction,No,56,18:35,Sunday,Feb-17,2019,2019-02-17
35,1979, ,PCGS, ,44.0,44.0,0.0,13,Sold,No,No,Auction,No,53,18:33,Sunday,Feb-17,2019,2019-02-17
36,1949, ,ICG, ,57.0,53.0,4.0,13,Sold,No,No,Auction,No,70,18:33,Sunday,Feb-17,2019,2019-02-17
37,1942,D,ICG, ,61.0,57.0,4.0,14,Sold,No,No,Auction,No,55,18:32,Sunday,Feb-17,2019,2019-02-17
38,1948,D,ICG, ,46.0,42.0,4.0,9,Sold,No,No,Auction,No,54,18:31,Sunday,Feb-17,2019,2019-02-17
39,1948, ,ICG, ,73.11,69.11,4.0,10,Sold,No,No,Auction,No,54,18:29,Sunday,Feb-17,2019,2019-02-17
40,1942, ,ICG, ,25.5,21.5,4.0,7,Sold,No,No,Auction,No,52,18:29,Sunday,Feb-17,2019,2019-02-17
41,1947,D,ICG, ,36.0,32.0,4.0,11,Sold,No,No,Auction,No,54,18:27,Sunday,Feb-17,2019,2019-02-17
42,1941, ,ICG, ,26.5,22.5,4.0,7,Sold,No,No,Auction,No,52,18:26,Sunday,Feb-17,2019,2019-02-17
43,1947, ,ICG, ,63.0,59.0,4.0,17,Sold,No,No,Auction,No,54,18:25,Sunday,Feb-17,2019,2019-02-17
