,title,price,sold,result,end_date,end_time,link
0,1922 $20 Saint Gaudens #939066-10 MS64 Secure Plus PCGS ,"$1,540.00",Ended,"Ended  Feb 5, 2019",Feb-5 ,3:06,https://www.ebay.com/itm/1922-20-Saint-Gaudens-939066-10-MS64-Secure-Plus-PCGS/312345099879?hash=item48b937fe67%3Ag%3AHnIAAOSwdrdcAGdp&LH_BIN=1
1,1922 $20 Saint Gaudens #937649-5 MS64+ PCGS ,"$1,895.00",Ended,"Ended  Feb 5, 2019",Feb-5 ,3:06,https://www.ebay.com/itm/1922-20-Saint-Gaudens-937649-5-MS64-PCGS/192657723370?hash=item2cdb4b8fea%3Ag%3A4vwAAOSw%7EkVbm7%7Ez&LH_BIN=1
2,1922 $20 Saint Gaudens #937729-8 MS64+ NGC ,"$1,895.00",Ended,"Ended  Feb 5, 2019",Feb-5 ,3:05,https://www.ebay.com/itm/1922-20-Saint-Gaudens-937729-8-MS64-NGC/312024648230?hash=item48a61e4a26%3Ag%3AmDIAAOSwUYNaMrdx&LH_BIN=1
3,1922 Gold $20 Saint Gaudens Double Eagle Coin ~ PCGS MS62 ~ (#223),"$1,625.00",Ended,"Ended  Feb 4, 2019",Feb-4 ,7:45,https://www.ebay.com/itm/1922-Gold-20-Saint-Gaudens-Double-Eagle-Coin-PCGS-MS62-223/333035882063?hash=item4d8a7c464f%3Ag%3APPIAAOSwWnFV9k51&LH_BIN=1
4,1922-S $20 Gold Coin PCGS MS-63,"$4,194.75",Ended,"Ended  Feb 3, 2019",Feb-3 ,0:17,https://www.ebay.com/itm/1922-S-20-Gold-Coin-PCGS-MS-63/382712437735?hash=item591b705be7%3Ag%3AyqMAAOSwvytcMC%7Em&LH_BIN=1
5,SUPERB 1922-P $20 GOLD ST. GAUDENS DOUBLE EAGLE  US COIN w/ MOTTO,"$1,639.99",Ended,"Ended  Feb 3, 2019",Feb-3 ,6:22,https://www.ebay.com/itm/SUPERB-1922-P-20-GOLD-ST-GAUDENS-DOUBLE-EAGLE-US-COIN-w-MOTTO/264118844396?hash=item3d7eb5bbec%3Ag%3AIgcAAOSwax5YvdTW&LH_BIN=1
6,1922-S Saint Gaudens Gold Double Eagle $20 - PCGS MS64+ Plus Grade - $8500 Value,"$6,800.90",Ended,"Ended  Feb 3, 2019",Feb-3 ,5:30,https://www.ebay.com/itm/1922-S-Saint-Gaudens-Gold-Double-Eagle-20-PCGS-MS64-Plus-Grade-8500-Value/183663545543?hash=item2ac3334cc7%3Ag%3AQ18AAOSwdzhb7Hl5&LH_BIN=1
7,MS62 1922-S $20.00 Saint-Gaudens Gold Double Eagle - Graded NGC *1989,"$3,095.00",Ended,"Ended  Feb 2, 2019",Feb-2 ,6:53,https://www.ebay.com/itm/MS62-1922-S-20-00-Saint-Gaudens-Gold-Double-Eagle-Graded-NGC-1989/123621435471?hash=item1cc869684f%3Ag%3AfbwAAOSwylBcUgZA&LH_BIN=1
8,1922 $20 St Gaudens PCGS MS62 Old Label - Uncirculated Gold Double Eagle,"$1,545.00",Sold,"Sold  Feb 1, 2019",Feb-1 ,7:41,https://www.ebay.com/itm/1922-20-St-Gaudens-PCGS-MS62-Old-Label-Uncirculated-Gold-Double-Eagle/223302370858?hash=item33fddbc62a%3Ag%3A9uUAAOSwXMxcJrFO&LH_BIN=1
9,1922-S Saint Gaudens Gold Double Eagle $20 - PCGS MS64+ Plus Grade - $8500 Value,"$6,800.90",Ended,"Ended  Jan 31, 2019",Jan-31,15:28,https://www.ebay.com/itm/1922-S-Saint-Gaudens-Gold-Double-Eagle-20-PCGS-MS64-Plus-Grade-8500-Value/143107854053?hash=item2151e48ee5%3Ag%3AQ18AAOSwdzhb7Hl5&LH_BIN=1
10,Near Gem!! 1922 $20 Saint St. Gaudens Gold Double Eagle - NGC MS 64 Beautiful!!,"$1,500.00",Sold,"Sold  Jan 31, 2019",Jan-31,09:57,https://www.ebay.com/itm/Near-Gem-1922-20-Saint-St-Gaudens-Gold-Double-Eagle-NGC-MS-64-Beautiful/183655253571?hash=item2ac2b4c643%3Ag%3AFQkAAOSwpLdcTHeF&LH_BIN=1
11,1922-S Saint Gaudens Gold Double Eagle $20 - PCGS MS64+ Plus Grade - $8500 Value,"$6,800.90",Ended,"Ended  Jan 28, 2019",Jan-28,15:23,https://www.ebay.com/itm/1922-S-Saint-Gaudens-Gold-Double-Eagle-20-PCGS-MS64-Plus-Grade-8500-Value/183654229635?hash=item2ac2a52683%3Ag%3AQ18AAOSwdzhb7Hl5&LH_BIN=1
